iter	Passed	Remaining
0	144	144016
1	150	74905
2	154	51462
3	159	39723
4	163	32607
5	168	27884
6	172	24470
7	177	21964
8	181	19970
9	186	18498
10	191	17198
11	195	16123
12	200	15225
13	205	14486
14	210	13842
15	215	13251
16	220	12733
17	225	12275
18	229	11868
19	234	11499
20	239	11179
21	244	10858
22	249	10595
23	254	10339
24	258	10097
25	263	9880
26	268	9674
27	272	9460
28	277	9290
29	282	9128
30	287	8982
31	290	8792
32	293	8610
33	296	8437
34	300	8277
35	303	8115
36	306	7970
37	310	7848
38	313	7728
39	315	7583
40	320	7499
41	326	7452
42	329	7343
43	334	7277
44	338	7179
45	343	7116
46	348	7066
47	352	6997
48	357	6932
49	362	6890
50	367	6847
51	372	6787
52	377	6737
53	381	6691
54	387	6651
55	391	6601
56	396	6560
57	401	6516
58	404	6454
59	407	6391
60	411	6326
61	413	6259
62	416	6195
63	419	6133
64	421	6066
65	424	6008
66	426	5946
67	430	5896
68	433	5844
69	435	5785
70	438	5732
71	440	5676
72	443	5633
73	446	5592
74	450	5552
75	455	5532
76	462	5538
77	465	5506
78	468	5467
79	472	5429
80	475	5397
81	478	5353
82	480	5313
83	485	5292
84	491	5290
85	496	5272
86	499	5243
87	503	5222
88	505	5170
89	508	5137
90	513	5125
91	515	5089
92	518	5055
93	519	5008
94	522	4976
95	526	4959
96	531	4945
97	537	4943
98	541	4925
99	543	4888
100	547	4869
101	550	4846
102	553	4818
103	556	4796
104	560	4775
105	565	4766
106	568	4748
107	573	4736
108	578	4729
109	582	4714
110	587	4706
111	592	4695
112	596	4685
113	601	4674
114	606	4664
115	610	4648
116	614	4636
117	618	4625
118	622	4611
119	627	4599
120	631	4589
121	636	4577
122	639	4561
123	644	4555
124	649	4544
125	653	4531
126	657	4522
127	663	4520
128	668	4515
129	672	4498
130	676	4484
131	681	4479
132	685	4471
133	690	4461
134	695	4456
135	700	4451
136	705	4443
137	710	4435
138	715	4429
139	718	4416
140	723	4406
141	727	4396
142	732	4388
143	736	4376
144	740	4365
145	744	4356
146	749	4348
147	753	4338
148	758	4330
149	762	4322
150	767	4315
151	770	4300
152	775	4294
153	779	4282
154	781	4262
155	784	4243
156	786	4224
157	790	4215
158	794	4202
159	798	4193
160	807	4207
161	812	4202
162	819	4207
163	824	4201
164	829	4196
165	837	4205
166	842	4201
167	847	4195
168	853	4195
169	857	4188
170	863	4184
171	869	4184
172	874	4179
173	881	4184
174	885	4176
175	889	4166
176	893	4153
177	898	4151
178	901	4136
179	905	4122
180	907	4105
181	911	4096
182	913	4079
183	916	4063
184	918	4047
185	920	4030
186	923	4013
187	927	4004
188	929	3987
189	932	3974
190	934	3959
191	937	3947
192	942	3942
193	947	3936
194	952	3931
195	958	3930
196	962	3924
197	966	3915
198	969	3904
199	973	3894
200	978	3889
201	989	3907
202	993	3901
203	997	3891
204	1001	3882
205	1006	3877
206	1009	3867
207	1013	3858
208	1016	3848
209	1021	3841
210	1024	3831
211	1028	3823
212	1031	3812
213	1034	3798
214	1036	3784
215	1038	3770
216	1041	3756
217	1043	3743
218	1048	3739
219	1052	3730
220	1055	3721
221	1059	3712
222	1062	3702
223	1065	3690
224	1067	3676
225	1069	3662
226	1071	3649
227	1074	3637
228	1080	3638
229	1085	3633
230	1088	3624
231	1090	3611
232	1096	3608
233	1099	3598
234	1104	3594
235	1107	3585
236	1112	3580
237	1117	3576
238	1122	3574
239	1127	3570
240	1132	3566
241	1136	3561
242	1141	3557
243	1146	3551
244	1149	3542
245	1153	3534
246	1157	3529
247	1164	3530
248	1169	3527
249	1175	3526
250	1180	3523
251	1185	3519
252	1190	3516
253	1196	3515
254	1200	3506
255	1204	3499
256	1209	3496
257	1213	3489
258	1216	3481
259	1220	3473
260	1224	3466
261	1227	3457
262	1230	3448
263	1233	3437
264	1235	3428
265	1240	3424
266	1243	3412
267	1246	3405
268	1250	3397
269	1254	3391
270	1256	3380
271	1259	3370
272	1262	3362
273	1264	3350
274	1267	3342
275	1271	3336
276	1275	3328
277	1280	3324
278	1285	3322
279	1289	3317
280	1294	3312
281	1299	3309
282	1303	3303
283	1308	3298
284	1312	3291
285	1315	3284
286	1320	3279
287	1325	3276
288	1330	3274
289	1334	3267
290	1339	3263
291	1344	3260
292	1348	3254
293	1353	3250
294	1358	3245
295	1362	3239
296	1366	3234
297	1369	3227
298	1374	3222
299	1377	3214
300	1381	3208
301	1386	3203
302	1390	3198
303	1393	3189
304	1397	3183
305	1400	3176
306	1404	3169
307	1408	3164
308	1412	3158
309	1416	3152
310	1420	3146
311	1424	3141
312	1428	3136
313	1433	3130
314	1437	3125
315	1441	3120
316	1446	3115
317	1450	3110
318	1454	3105
319	1459	3100
320	1463	3095
321	1467	3090
322	1471	3084
323	1475	3078
324	1479	3073
325	1483	3067
326	1488	3062
327	1492	3057
328	1496	3052
329	1500	3047
330	1504	3041
331	1509	3037
332	1514	3033
333	1518	3028
334	1522	3022
335	1526	3016
336	1530	3011
337	1534	3005
338	1538	3000
339	1543	2995
340	1547	2990
341	1551	2985
342	1555	2980
343	1560	2975
344	1564	2971
345	1569	2967
346	1573	2961
347	1577	2956
348	1582	2951
349	1586	2946
350	1591	2941
351	1595	2937
352	1599	2932
353	1604	2927
354	1608	2923
355	1613	2919
356	1618	2914
357	1622	2910
358	1627	2906
359	1631	2900
360	1635	2895
361	1640	2890
362	1644	2885
363	1648	2880
364	1653	2876
365	1657	2871
366	1662	2866
367	1666	2861
368	1670	2857
369	1675	2852
370	1680	2849
371	1684	2844
372	1689	2839
373	1693	2835
374	1698	2830
375	1702	2825
376	1706	2820
377	1711	2815
378	1715	2811
379	1720	2806
380	1724	2802
381	1729	2797
382	1733	2792
383	1736	2786
384	1741	2782
385	1745	2776
386	1749	2771
387	1754	2767
388	1758	2762
389	1763	2758
390	1768	2753
391	1772	2749
392	1776	2744
393	1780	2739
394	1785	2734
395	1789	2729
396	1794	2724
397	1798	2720
398	1802	2715
399	1807	2711
400	1811	2706
401	1815	2701
402	1820	2696
403	1824	2691
404	1829	2687
405	1833	2682
406	1837	2676
407	1841	2671
408	1845	2666
409	1850	2663
410	1855	2659
411	1859	2653
412	1863	2648
413	1868	2644
414	1869	2635
415	1874	2631
416	1879	2627
417	1883	2622
418	1887	2617
419	1891	2612
420	1896	2607
421	1900	2603
422	1905	2598
423	1909	2594
424	1914	2589
425	1918	2584
426	1922	2579
427	1926	2574
428	1930	2569
429	1933	2563
430	1937	2557
431	1940	2551
432	1941	2542
433	1944	2535
434	1948	2530
435	1952	2525
436	1956	2520
437	1960	2515
438	1964	2510
439	1968	2505
440	1973	2502
441	1978	2497
442	1981	2491
443	1985	2485
444	1988	2480
445	1992	2475
446	1995	2469
447	1999	2463
448	2003	2458
449	2006	2452
450	2011	2448
451	2014	2442
452	2019	2438
453	2022	2432
454	2025	2426
455	2028	2419
456	2032	2414
457	2034	2407
458	2037	2401
459	2040	2395
460	2042	2388
461	2046	2383
462	2051	2379
463	2055	2374
464	2059	2369
465	2067	2369
466	2070	2363
467	2074	2358
468	2079	2354
469	2083	2348
470	2087	2344
471	2091	2339
472	2098	2337
473	2102	2333
474	2106	2328
475	2111	2324
476	2115	2320
477	2119	2314
478	2126	2313
479	2130	2308
480	2135	2303
481	2140	2300
482	2144	2295
483	2148	2290
484	2152	2286
485	2156	2281
486	2161	2276
487	2166	2272
488	2172	2270
489	2176	2265
490	2181	2261
491	2189	2260
492	2192	2255
493	2196	2250
494	2202	2247
495	2206	2242
496	2209	2236
497	2216	2234
498	2221	2230
499	2225	2225
500	2231	2222
501	2236	2218
502	2240	2213
503	2246	2210
504	2250	2205
505	2255	2201
506	2259	2197
507	2264	2192
508	2268	2188
509	2273	2183
510	2278	2180
511	2282	2175
512	2286	2170
513	2292	2167
514	2296	2162
515	2300	2157
516	2304	2153
517	2309	2149
518	2313	2144
519	2318	2139
520	2323	2136
521	2327	2131
522	2332	2127
523	2337	2123
524	2342	2119
525	2347	2114
526	2351	2110
527	2358	2108
528	2362	2103
529	2367	2099
530	2370	2093
531	2374	2089
532	2379	2084
533	2384	2080
534	2387	2075
535	2392	2071
536	2397	2067
537	2401	2062
538	2405	2057
539	2409	2052
540	2414	2048
541	2418	2044
542	2423	2039
543	2429	2036
544	2433	2031
545	2438	2027
546	2443	2023
547	2447	2018
548	2451	2014
549	2456	2009
550	2460	2005
551	2464	2000
552	2469	1996
553	2474	1991
554	2478	1987
555	2482	1982
556	2489	1979
557	2493	1975
558	2498	1971
559	2502	1966
560	2506	1961
561	2510	1956
562	2515	1952
563	2519	1947
564	2523	1942
565	2528	1939
566	2533	1934
567	2538	1930
568	2542	1925
569	2546	1920
570	2550	1916
571	2554	1911
572	2559	1907
573	2563	1902
574	2568	1898
575	2572	1893
576	2577	1889
577	2582	1885
578	2586	1881
579	2591	1876
580	2595	1871
581	2600	1867
582	2605	1863
583	2609	1859
584	2613	1854
585	2617	1849
586	2622	1845
587	2627	1840
588	2631	1835
589	2634	1830
590	2637	1825
591	2641	1820
592	2645	1815
593	2647	1809
594	2650	1804
595	2655	1800
596	2660	1796
597	2665	1791
598	2670	1787
599	2674	1782
600	2678	1778
601	2682	1773
602	2687	1769
603	2691	1764
604	2695	1759
605	2701	1756
606	2705	1751
607	2710	1747
608	2714	1742
609	2719	1738
610	2723	1734
611	2728	1729
612	2733	1725
613	2737	1721
614	2742	1716
615	2746	1712
616	2750	1707
617	2755	1703
618	2759	1698
619	2764	1694
620	2769	1690
621	2773	1685
622	2778	1681
623	2782	1676
624	2786	1672
625	2791	1667
626	2795	1663
627	2800	1658
628	2804	1654
629	2809	1649
630	2813	1645
631	2818	1641
632	2822	1636
633	2827	1632
634	2832	1627
635	2836	1623
636	2840	1618
637	2845	1614
638	2849	1609
639	2854	1605
640	2858	1600
641	2863	1596
642	2867	1592
643	2873	1588
644	2878	1584
645	2882	1579
646	2887	1575
647	2891	1570
648	2896	1566
649	2900	1561
650	2905	1557
651	2909	1552
652	2913	1548
653	2918	1543
654	2922	1539
655	2927	1535
656	2931	1530
657	2937	1526
658	2941	1522
659	2945	1517
660	2950	1513
661	2954	1508
662	2959	1504
663	2963	1499
664	2968	1495
665	2972	1490
666	2977	1486
667	2980	1481
668	2984	1476
669	2986	1471
670	2989	1465
671	2993	1460
672	2995	1455
673	2998	1450
674	3000	1444
675	3003	1439
676	3005	1433
677	3007	1428
678	3009	1422
679	3012	1417
680	3014	1411
681	3016	1406
682	3019	1401
683	3022	1396
684	3024	1390
685	3028	1386
686	3032	1381
687	3036	1376
688	3042	1373
689	3046	1368
690	3049	1363
691	3054	1359
692	3058	1355
693	3063	1350
694	3066	1345
695	3070	1341
696	3074	1336
697	3079	1332
698	3083	1327
699	3087	1323
700	3092	1318
701	3096	1314
702	3100	1310
703	3105	1305
704	3110	1301
705	3115	1297
706	3121	1293
707	3125	1289
708	3130	1284
709	3134	1280
710	3138	1275
711	3142	1271
712	3146	1266
713	3152	1262
714	3156	1258
715	3160	1253
716	3165	1249
717	3169	1244
718	3174	1240
719	3178	1236
720	3182	1231
721	3187	1227
722	3191	1222
723	3195	1218
724	3200	1213
725	3204	1209
726	3209	1205
727	3214	1201
728	3219	1196
729	3224	1192
730	3229	1188
731	3233	1183
732	3239	1179
733	3243	1175
734	3247	1170
735	3251	1166
736	3255	1161
737	3260	1157
738	3264	1153
739	3269	1148
740	3273	1144
741	3278	1139
742	3282	1135
743	3287	1131
744	3291	1126
745	3295	1122
746	3300	1117
747	3304	1113
748	3308	1108
749	3312	1104
750	3317	1099
751	3322	1095
752	3326	1091
753	3331	1086
754	3335	1082
755	3339	1077
756	3343	1073
757	3348	1068
758	3353	1064
759	3357	1060
760	3362	1055
761	3367	1051
762	3371	1047
763	3375	1042
764	3381	1038
765	3386	1034
766	3391	1030
767	3396	1025
768	3400	1021
769	3404	1017
770	3409	1012
771	3413	1008
772	3417	1003
773	3422	999
774	3426	994
775	3430	990
776	3435	985
777	3439	981
778	3443	976
779	3447	972
780	3452	968
781	3457	963
782	3461	959
783	3466	955
784	3470	950
785	3474	946
786	3479	941
787	3483	937
788	3488	932
789	3492	928
790	3497	924
791	3501	919
792	3505	915
793	3510	910
794	3515	906
795	3519	901
796	3523	897
797	3527	892
798	3531	888
799	3535	883
800	3539	879
801	3543	874
802	3547	870
803	3552	866
804	3555	861
805	3559	856
806	3562	852
807	3567	847
808	3572	843
809	3576	838
810	3580	834
811	3584	829
812	3589	825
813	3593	821
814	3597	816
815	3602	812
816	3605	807
817	3609	803
818	3614	798
819	3618	794
820	3622	789
821	3626	785
822	3630	780
823	3634	776
824	3639	771
825	3643	767
826	3647	763
827	3651	758
828	3656	754
829	3660	749
830	3664	745
831	3669	740
832	3673	736
833	3677	731
834	3681	727
835	3685	722
836	3689	718
837	3693	714
838	3698	709
839	3702	705
840	3705	700
841	3708	695
842	3711	691
843	3715	686
844	3719	682
845	3724	678
846	3729	673
847	3733	669
848	3736	664
849	3740	660
850	3743	655
851	3747	651
852	3751	646
853	3755	641
854	3759	637
855	3762	632
856	3766	628
857	3770	624
858	3774	619
859	3778	615
860	3781	610
861	3785	606
862	3789	601
863	3794	597
864	3798	592
865	3801	588
866	3805	583
867	3809	579
868	3814	575
869	3818	570
870	3821	566
871	3825	561
872	3828	557
873	3833	552
874	3837	548
875	3841	543
876	3845	539
877	3848	534
878	3852	530
879	3857	526
880	3861	521
881	3864	517
882	3868	512
883	3870	507
884	3873	503
885	3876	498
886	3880	494
887	3884	489
888	3887	485
889	3890	480
890	3895	476
891	3899	472
892	3902	467
893	3905	463
894	3909	458
895	3913	454
896	3917	449
897	3920	445
898	3923	440
899	3927	436
900	3930	431
901	3934	427
902	3938	423
903	3942	418
904	3945	414
905	3948	409
906	3953	405
907	3958	401
908	3963	396
909	3966	392
910	3970	387
911	3974	383
912	3977	379
913	3981	374
914	3984	370
915	3988	365
916	3991	361
917	3995	356
918	3999	352
919	4002	348
920	4005	343
921	4008	339
922	4010	334
923	4013	330
924	4015	325
925	4018	321
926	4020	316
927	4022	312
928	4024	307
929	4026	303
930	4028	298
931	4030	294
932	4033	289
933	4035	285
934	4037	280
935	4039	276
936	4040	271
937	4043	267
938	4047	262
939	4051	258
940	4055	254
941	4060	249
942	4064	245
943	4068	241
944	4072	237
945	4077	232
946	4081	228
947	4085	224
948	4093	219
949	4097	215
950	4102	211
951	4106	207
952	4111	202
953	4115	198
954	4118	194
955	4123	189
956	4127	185
957	4131	181
958	4135	176
959	4139	172
960	4144	168
961	4148	163
962	4152	159
963	4156	155
964	4160	150
965	4164	146
966	4168	142
967	4172	137
968	4177	133
969	4181	129
970	4185	124
971	4189	120
972	4193	116
973	4198	112
974	4202	107
975	4206	103
976	4210	99
977	4214	94
978	4219	90
979	4223	86
980	4227	81
981	4231	77
982	4235	73
983	4240	68
984	4244	64
985	4249	60
986	4253	56
987	4257	51
988	4261	47
989	4266	43
990	4270	38
991	4274	34
992	4278	30
993	4283	25
994	4287	21
995	4291	17
996	4295	12
997	4299	8
998	4303	4
999	4308	0
